6931|8034
1647|921
5521|4271
5467|4469
5855|9603
1920|776
2853|4125
5957|725
7039|6516
522|6336
6072|1484
2686|5421
5209|7401
2927|4798
1222|8882
2855|4998
4869|9385
3896|6380
3950|4630
3477|6778
1167|7699
692|1841
7003|3644
1764|2514
852|408
4135|3813
3825|5485
1007|5057
6001|2223
601|9847
3418|6687
337|5043
1513|6555
6807|868
6772|7651
4224|9205
540|1761
411|2051
277|2092
5966|4537
3175|3167
1437|3977
4216|9543
1691|2308
791|3323
4674|2292
3119|2776
5104|9187
2|3419
4123|3817
2510|7032
494|4368
3977|2423
6111|5044
3073|4051
2357|7744
1038|4353
2196|335
4003|7060
1545|417
3445|3641
3549|9038
2161|5725
5190|6102
6229|684
6902|867
2468|2816
2929|1064
296|8032
5286|8610
6975|8856
6410|9538
4889|7354
5289|4627
5863|7264
3839|690
3795|2455
1327|8771
2285|7993
6926|9302
2815|7899
3013|7598
331|4446
1540|2908
4022|1347
5979|5362
2357|2467
3119|1766
6054|7040
2033|3555
3297|2576
4699|9195
5663|3307
5852|6396
1581|9567
5719|2275
7060|9184
7025|1905
2627|10107
4985|906
5149|6860
4711|7949
4853|5651
5076|9558
533|9116
2052|9845
716|4109
1162|8204
1145|6445
738|716
5254|4604
2479|4842
2638|9756
1231|966
744|1869
1164|5982
2137|6347
3849|3630
4261|1846
6791|1633
5964|1931
2783|2867
2667|1264
3079|6940
426|6649
945|508
6769|9040
1336|7090
3446|4453
757|490
6031|3399
1987|1200
1915|198
4383|2917
473|9805
752|5033
1743|6461
1473|6878
1973|7469
7120|1410
5191|6766
6032|7324
272|7159
3682|7855
3662|158
3652|1453
1871|623
6842|5004
6974|7932
2945|4581
898|4126
942|2755
2476|5345
3608|9725
5642|4616
77|8666
973|364
1459|6899
5452|3457
5248|1598
5605|3879
1472|2466
749|1596
5257|7967
6849|5840
4303|4583
5965|4904
6827|2707
5945|5604
347|2762
1693|8953
6279|9927
5720|7906
6742|8983
6900|488
669|7195
6158|2923
4159|8286
5125|7514
6890|2736
1340|5144
3850|5323
313|1861
6179|5510
6602|6267
3506|1024
2335|10047
3769|4719
3952|3715
4169|7327
817|105
2112|2454
4733|6231
1515|2126
4946|3345
1025|3178
2828|42
5377|4719
1534|1616
6300|104
3586|595
4974|7046
1985|881
1161|1161
4102|4813
5260|9102
4494|6217
6235|7813
1070|4961
1184|7239
902|8709
4615|9235
2648|10054
3995|9882
5615|872
3342|8873
3853|7164
98|5459
3233|7929
5728|2110
4751|2682
2989|6459
3409|7104
2050|8785
1785|7367
497|1351
4465|4221
6512|6031
1241|9440
6204|8172
3369|3942
5464|1878
5731|7825
6643|8762
3160|8561
2050|2811
6449|9111
4402|9988
3584|1123
5903|8055
509|4878
4080|3551
3423|726
6175|6827
3041|7868
760|3719
1359|2981
5940|8864
4157|6705
4753|5306
1302|302
6135|1228
4037|9048
4000|960
1504|2763
1767|2239
4134|1784
1870|4102
4873|7881
6095|7275
3240|3596
5546|6520
6056|9831
3996|7226
6720|8220
6583|946
3037|7999
1821|8643
5726|7495
6810|7442
6258|1610
7040|8945
3992|9281
975|3283
3264|1418
4601|4136
5434|3451
50|6350
1151|3043
4297|5288
1366|9190
7137|10028
4823|8032
243|4651
5342|4342
3009|2813
4667|2566
2167|4299
80|8182
4210|2414
840|3937
5908|5797
1871|4268
639|1815
6081|10053
2818|7296
6449|2346
3255|3481
5534|8006
6023|6170
4633|7799
5974|1197
3544|1258
2235|618
635|632
6068|1842
878|9348
5442|918
6011|5785
5192|2153
948|6036
1759|6203
6888|849
3514|1442
4048|8778
5763|4236
5298|8234
5733|280
1461|1605
264|8985
588|8420
353|8677
5292|5422
5101|316
3647|3132
217|5259
1542|2815
2942|2423
2057|3592
6496|6708
5755|9472
5296|339
2404|2388
5045|2649
4388|2639
5060|8408
1767|1524
918|8369
1009|3364
6604|4353
6999|9311
427|5227
5264|7107
1810|1694
1245|1567
5153|2065
1472|9457
7089|8656
1153|6023
664|2539
2617|7964
6836|5489
5766|2057
2304|2999
4998|4630
2680|6877
1895|6583
6969|9080
4780|4043
4014|7231
3602|4618
1344|7614
5078|3319
6549|2957
751|10012
6942|4445
4914|7096
3791|7018
3415|5155
5340|500
3237|582
550|4859
5332|3923
5764|7877
1904|8321
6888|7315
702|3956
787|9753
1387|6744
5363|4752
6395|8825
1770|7868
6922|7166
4015|325
1183|4575
6792|6969
6595|8905
432|7326
979|9965
3906|6928
4462|173
1609|3777
1252|3360
4708|4878
6810|7508
500|1637
3418|7323
6565|1457
6993|247
6739|3183
6286|3611
5310|8573
6705|2047
3686|3619
3843|1411
3331|8277
6779|3560
