5YQK856|2000-04-16|31685
HMN-618|1986-07-31|20874
WSV-564|1996-08-28|19881
RGF-757|1981-09-12|24154
LCT-143|1996-05-17|11052
3NCK727|1982-12-04|17879
7BDC358|1998-05-09|19261
QJV-8439|2014-01-05|26775
XES-6863|2013-09-10|27937
LKZ-316|2006-10-22|11684
KEH-5326|1990-10-31|21078
MGM-4802|1989-04-04|26668
BPT-2567|1993-11-09|8522
BBP-665|1993-02-03|26726
FDV-1019|2001-12-14|17680
RXD-0539|1973-05-06|17347
NYQ-819|1974-05-03|13638
JAN-802|1975-10-07|8824
UDQ-845|1988-03-01|28086
TSV-8104|2009-01-28|13423
2ERU975|2001-12-16|31349
LWR-441|1974-10-21|23227
FEK-769|1970-08-19|8144
BWT-456|1995-01-16|32728
IGL-6676|2005-02-15|29222
1AIH494|2002-03-02|18750
TWW-1675|1991-04-29|8129
XXC-432|1993-11-07|12237
9HKL484|1983-12-11|21634
SNN-3585|1997-04-15|12066
CFO-4348|1982-11-06|19518
QKV-7114|2007-05-05|9741
9RVS388|1979-02-25|15150
XLJ-612|2008-08-26|12079
UAK-833|1972-10-09|33022
7SQR296|1979-06-30|28469
4VBE923|1991-09-08|34280
PIO-5836|1978-01-05|15362
PUU-543|2016-07-24|29443
GHM-204|1986-08-11|30139
IGJ-6643|2011-04-02|33011
9JPB632|1999-05-24|15134
XBG-356|1992-06-15|22325
CWN-4132|2010-12-28|10741
PQX-4638|1975-01-21|16950
FUN-227|1970-11-21|24669
7XKG423|1972-05-30|19122
RTU-839|2015-08-23|11726
6LTN273|2004-05-22|12948
EJE-8580|1994-01-25|33050
SRB-2668|1970-04-26|16558
1EEY889|1999-07-16|31587
RLQ-924|2002-10-12|27096
HCY-6688|2007-10-16|21489
RDZ-806|2003-10-12|14421
SNS-5934|1979-02-12|22484
7QNH298|1999-05-09|25744
4MUW369|1978-07-24|30143
BGP-0613|2003-10-26|25072
IIL-3199|1988-07-29|12181
TGS-7551|2014-12-11|26705
ACV-6664|2011-02-05|20081
5XWU937|1986-11-04|12819
EFU-137|1970-08-02|33892
ILX-8105|2006-04-24|16825
9FUI299|1980-01-28|11731
TZO-501|1982-10-13|31299
PHC-883|2015-02-14|15746
SIB-521|2006-08-11|19912
ZIC-7129|1992-03-08|16880
JRM-1634|1993-09-14|32811
YNP-145|2004-09-29|17116
XOJ-276|1990-08-18|21860
MVM-9467|1999-08-04|8211
MBU-9516|1987-05-11|14923
3XVA656|1977-01-17|28784
MTG-1660|2000-10-22|27668
3ZIT326|1974-04-12|14746
2YRV612|2018-10-19|12347
9QTS533|2013-02-19|30543
BTC-3683|2005-02-08|16282
THV-244|2001-07-19|27801
3XWC694|1990-02-18|30871
6KUP524|1992-02-26|32811
HTW-885|2015-12-12|24300
SGE-5316|1996-07-16|10252
PBJ-878|1991-09-02|28502
5WCH783|2005-12-21|31406
1ZMK346|2012-04-18|9077
KKP-6781|1977-12-03|18830
GQO-333|1984-01-17|30255
9ORX749|2008-12-11|28446
JPM-5774|1986-11-13|21688
MST-077|1998-03-20|8759
ZBT-876|2010-02-15|13302
MKD-532|2000-07-25|27652
8LJT885|2018-09-09|16871
INF-5443|1978-12-19|8232
MMR-981|1971-09-18|31711
