SWQ-8938|2000|hip hop|3117
VDA-3915|1986|hip hop|2745
NRG-4499|1989|hip hop|4558
CVX-705|1992|hip hop|4388
FRM-8406|2011|hip hop|7510
HMW-8022|1978|hip hop|7986
4SPT234|2010|hip hop|3596
MTY-511|1965|hip hop|5357
ACJ-367|2010|hip hop|2166
2POJ388|2010|hip hop|382
WEY-4157|1964|hip hop|2197
WFA-791|2008|hip hop|8874
UCW-801|1993|hip hop|7542
JUO-755|1990|hip hop|10088
VDQ-855|2018|hip hop|5766
XUS-0475|1992|hip hop|2786
SLP-8860|2018|hip hop|9047
1XOH149|1980|hip hop|2457
EPV-655|1970|hip hop|3178
IIE-400|1960|hip hop|3416
JVK-7122|1976|hip hop|7805
EZW-694|2008|hip hop|9668
3PSY795|2015|hip hop|8737
WKT-972|2006|hip hop|6786
JKN-6769|1983|hip hop|9622
3QNW744|2018|hip hop|6600
IQX-919|1966|hip hop|951
LOM-726|1973|hip hop|3300
JWS-148|1964|hip hop|7956
1LUX962|1991|hip hop|6809
6ELT667|2018|hip hop|241
8MGJ127|1975|hip hop|3991
FMZ-7094|2000|hip hop|3621
XOM-142|1968|hip hop|3269
2LHJ672|2013|hip hop|1219
ZBH-151|1986|hip hop|701
UKI-5021|1980|hip hop|9630
9GWE474|2016|hip hop|10108
YOH-994|2001|hip hop|6732
PDK-6923|2002|hip hop|857
6EQB859|1975|hip hop|6834
KLF-4977|1979|hip hop|6359
ICR-959|1993|hip hop|5975
FBA-483|1976|hip hop|5485
6FIL562|1998|hip hop|7993
PHW-5355|1991|hip hop|3474
AKO-0689|1968|hip hop|9728
IIS-230|1962|hip hop|5653
FPS-6916|1963|hip hop|335
BKF-878|1989|hip hop|4224
CTR-0088|1978|hip hop|1629
TCJ-685|1974|hip hop|1462
PEE-761|2011|hip hop|6952
QEK-436|1999|hip hop|2558
YSQ-293|2004|hip hop|134
CPC-9835|1961|hip hop|5615
VHU-5213|2016|hip hop|1973
2TOU962|1987|hip hop|8646
IVU-6286|2012|hip hop|1250
FBD-707|1986|hip hop|8806
6ZJW346|1983|hip hop|915
QJY-335|1990|hip hop|6876
DHF-6525|1980|hip hop|540
2JLL359|2008|hip hop|3322
3EYC637|1984|hip hop|1556
OHO-111|1992|hip hop|9591
ZLJ-7674|1989|hip hop|6832
APX-778|1963|hip hop|1221
VNU-577|2001|hip hop|809
LXV-306|1974|hip hop|3259
GFA-582|1963|hip hop|1055
UPQ-519|1985|hip hop|9788
MCT-910|2018|hip hop|5223
5SVY955|2014|hip hop|9799
7RAG224|2018|hip hop|4516
LIZ-642|2008|hip hop|8069
REU-181|1994|hip hop|5292
NUN-657|1977|hip hop|10057
TEE-0655|2011|hip hop|4065
YWH-893|1961|hip hop|8191
JNZ-3519|2006|hip hop|10109
6TPD638|1971|hip hop|580
4NUE185|1994|hip hop|7065
5VOY766|2012|hip hop|2713
2ODA922|1979|hip hop|4135
JZZ-0511|2009|hip hop|6317
JNW-9542|2010|hip hop|5989
AXT-904|1991|hip hop|5487
VWS-7366|2006|hip hop|4461
RWC-2510|2011|hip hop|683
RCF-5127|1984|hip hop|9521
TLE-473|1996|hip hop|10023
4GFI755|1988|hip hop|4397
KUI-880|1965|hip hop|9168
FHR-1477|1977|hip hop|5419
EXF-3535|1995|hip hop|7981
5YHS693|1990|hip hop|9576
1EDV448|2018|hip hop|7981
YIQ-6939|2008|hip hop|1747
RVE-1806|1986|hip hop|4783
SRJ-675|1989|hip hop|2560
HKK-7702|2006|hip hop|9167
YZE-8740|2000|hip hop|504
XCL-567|1977|hip hop|167
4FDL956|1993|hip hop|570
3VFK489|1977|hip hop|6906
ZPI-679|2004|hip hop|6766
RSA-2566|1985|hip hop|3673
7JET718|1987|hip hop|1128
XAU-9757|1999|hip hop|4154
7BPD915|1998|hip hop|3497
9LXC321|1985|hip hop|9545
6VFD218|1969|hip hop|941
MPN-6169|2001|hip hop|9212
DBI-1860|2012|hip hop|79
PWQ-727|1983|hip hop|7960
RKT-8138|1967|hip hop|3917
DYL-351|1993|hip hop|5580
HJI-2318|1976|hip hop|3001
KRA-4953|2015|hip hop|537
LNW-7807|1962|hip hop|9610
URM-495|1992|hip hop|4322
JAI-322|2005|hip hop|1647
SYK-0429|1972|hip hop|7472
NPL-351|1970|hip hop|3082
YMN-074|2006|hip hop|4737
5UHK185|1962|hip hop|2339
XVX-0489|1989|hip hop|7406
7PFQ957|2018|hip hop|7079
QPC-2548|1977|hip hop|6069
UJF-5593|1960|hip hop|7470
7NLV622|1992|hip hop|1509
ZJQ-6645|2010|hip hop|118
LNT-089|1978|hip hop|807
8QTY827|2011|hip hop|1171
TFI-3235|1973|hip hop|6952
6FLA697|1982|hip hop|829
2OJC593|1985|hip hop|5666
4CTB177|1979|hip hop|4661
7OEI835|2008|hip hop|8952
2YCH794|1995|hip hop|8785
3YRP418|1966|hip hop|8933
FEA-455|2018|hip hop|346
5GNO218|1967|hip hop|641
MUZ-8944|1991|hip hop|2410
TBU-0800|1974|hip hop|5583
RDG-1201|1983|hip hop|8379
2THB523|1994|hip hop|9928
DFM-019|1966|hip hop|9192
WBU-8629|2007|hip hop|4575
7LPU656|2005|hip hop|1054
WUK-3558|1961|hip hop|9501
LTO-4162|1998|hip hop|3071
3MNV682|1996|hip hop|6024
RYL-1366|2015|hip hop|6671
3GEO435|1989|hip hop|6227
MGY-367|2008|hip hop|6264
XJE-8005|2002|hip hop|4953
GIQ-408|2005|hip hop|2566
GYZ-2842|1976|hip hop|7103
SGN-047|1989|hip hop|2729
1FKA622|1995|hip hop|8184
3GXN721|1964|hip hop|5472
JNW-5907|1965|hip hop|1166
7WKT412|2001|hip hop|1773
THD-850|1974|hip hop|4377
XJG-8543|1985|hip hop|5213
IUX-102|1962|hip hop|5158
PCE-1270|1978|hip hop|7148
JIF-909|1993|hip hop|555
3BAS833|2005|hip hop|6297
TBK-1414|1960|hip hop|8550
UWI-480|1976|hip hop|2250
VPN-110|1977|hip hop|7229
TEH-383|1960|hip hop|6982
LRL-7991|1991|hip hop|5764
HCN-2695|2005|hip hop|3549
ODS-647|1994|hip hop|6823
3HZS155|1975|hip hop|8901
IWH-9165|1976|hip hop|4515
3BYH796|1967|hip hop|8178
MMC-637|1991|hip hop|7352
QEC-3425|2016|hip hop|846
9RVM181|1997|hip hop|1308
MCA-0461|1966|hip hop|6836
8HOY155|1985|hip hop|3288
4AAT417|1984|hip hop|2332
LNK-529|1972|hip hop|9581
ZJM-014|1981|hip hop|3700
SIE-4810|2007|hip hop|2102
LAD-2837|1982|hip hop|10086
PMF-671|1961|hip hop|7611
9EAA172|1987|hip hop|6702
XLT-372|1984|hip hop|8003
1DTH864|1990|hip hop|5008
SDA-5169|1971|hip hop|3608
TUS-714|1967|hip hop|493
1HDO864|1975|hip hop|2509
6QIV153|1985|hip hop|7442
EBC-8413|1982|hip hop|1012
DPX-4625|1982|hip hop|5782
JJO-273|1974|hip hop|7237
ZVQ-588|2000|hip hop|811
8EVO735|1982|hip hop|6453
6QKZ669|1989|hip hop|9534
TKH-991|2011|hip hop|3062
8MLB569|1981|hip hop|8553
GAS-0966|2015|hip hop|1043
QRQ-974|2004|hip hop|5359
SPR-0559|1987|hip hop|3211
8LVR358|1961|hip hop|178
6BKE287|1988|hip hop|9012
XSJ-187|1999|hip hop|9783
RKT-581|1995|hip hop|4123
8CNE758|1993|hip hop|3429
PTX-5964|2000|hip hop|2944
1ZMK629|1970|hip hop|1270
FZK-7433|2010|hip hop|1255
6NGQ628|2013|hip hop|2602
OCE-3880|1994|hip hop|3
9HRV735|2016|hip hop|5588
5THM572|1995|hip hop|5441
3HMZ434|1973|hip hop|9844
YLN-8542|1998|hip hop|2528
1VTG691|1964|hip hop|8229
8MIQ359|1991|hip hop|1596
HMG-3414|2009|hip hop|4650
9SDC495|2012|hip hop|5929
JHW-3330|2010|hip hop|4420
OEF-9864|2001|hip hop|9816
QEI-7805|1965|hip hop|2561
NBZ-543|1965|hip hop|7723
EME-136|1993|hip hop|2127
1OQG462|1999|hip hop|8186
7UOQ784|1982|hip hop|8383
1PKY682|1985|hip hop|4085
MQR-8551|1994|hip hop|5031
LEI-265|1964|hip hop|10083
RLD-384|2017|hip hop|8215
KHI-7778|2004|hip hop|982
LQE-6893|1973|hip hop|6652
EGJ-121|1981|hip hop|9408
9ZMQ647|1973|hip hop|9045
IPO-722|1963|hip hop|7439
JQZ-5140|1992|hip hop|2786
XED-538|1975|hip hop|8863
6ZGH735|1962|hip hop|5231
BTV-092|1987|hip hop|675
BHR-820|2006|hip hop|7587
KKH-827|1994|hip hop|1561
9OXE872|2001|hip hop|4407
SLY-117|1961|hip hop|7091
7APM982|1997|hip hop|913
ANB-6540|1996|hip hop|270
FRI-4659|1989|hip hop|6983
7SVK815|1998|hip hop|9089
KKM-404|1971|hip hop|6246
JFH-1070|1996|hip hop|5980
JLJ-233|1998|hip hop|6816
PGG-6986|1963|hip hop|1480
PCA-949|2010|hip hop|1223
8JTS516|2014|hip hop|7093
JNX-9776|2015|hip hop|7636
YZO-3507|2013|hip hop|5336
DFN-6067|2002|hip hop|3471
4NBJ123|1992|hip hop|5129
EQM-1630|1970|hip hop|1936
PFZ-140|2016|hip hop|7390
WEB-620|1974|hip hop|4300
7LUA742|1973|hip hop|3081
7SSV974|1981|hip hop|6465
8BKH942|2013|hip hop|300
6ACO698|1981|hip hop|7106
EYF-7860|2002|hip hop|3842
OBC-8570|1990|hip hop|10036
GCI-583|1985|hip hop|7106
PUZ-366|1962|hip hop|5763
JWC-2515|1969|hip hop|10055
CBZ-9538|1966|hip hop|4449
NIE-828|2015|hip hop|9031
DVT-539|1979|hip hop|362
TKY-3531|2009|hip hop|8195
TLR-453|1961|hip hop|6809
ICZ-080|1999|hip hop|3126
CNQ-2659|2003|hip hop|9
3QEG691|2008|hip hop|2533
HFM-619|1971|hip hop|4580
2NGX324|1979|hip hop|4855
9GEM893|1986|hip hop|4504
TOU-814|2000|hip hop|9560
OIP-9946|1999|hip hop|6546
8XVI972|1999|hip hop|3119
CJR-880|2013|hip hop|228
XWT-8290|2005|hip hop|3944
9YNC593|1985|hip hop|8015
MRY-416|1977|hip hop|7150
1DWX684|1977|hip hop|1872
3OQM735|2015|hip hop|3106
BLU-2262|1966|hip hop|7869
TJT-0978|2012|hip hop|9746
6QMN462|2012|hip hop|9746
3MMO216|2016|hip hop|1309
OGC-2617|1999|hip hop|7614
5MMB774|1994|hip hop|9437
7FCJ968|1976|hip hop|726
7UIO181|2002|hip hop|9314
PTU-6993|2009|hip hop|7292
XIB-926|2002|hip hop|6022
VON-5530|2010|hip hop|2111
OHI-777|1973|hip hop|4170
7ZLU794|1985|hip hop|2340
1EJV444|1976|hip hop|5519
6OMZ267|1967|hip hop|8857
DBE-8103|1978|hip hop|4997
PDY-8440|2009|hip hop|6044
NTP-9073|1963|hip hop|4878
USF-349|2014|hip hop|3924
MCZ-8795|1987|hip hop|7978
ERI-167|1969|hip hop|9637
EYC-176|1988|hip hop|5586
DXN-1202|2006|hip hop|200
MRY-589|1992|hip hop|9849
ORX-7966|1996|hip hop|8016
8UJH849|1979|hip hop|1293
ZOA-422|1968|hip hop|2572
KIC-0266|2006|hip hop|6201
WTY-0979|2008|hip hop|5096
YZA-385|2008|hip hop|3212
8FDV472|1982|hip hop|2268
4GRE682|2011|hip hop|996
GEF-8424|1986|hip hop|9589
LCE-6079|2002|hip hop|4290
XYL-421|2012|hip hop|2024
SCL-418|1966|hip hop|771
EHX-5945|1996|hip hop|640
