JYJ-549|2003-01-04|electronic|small
AWY-214|2015-05-17|electronic|small
ZXF-4316|2011-09-07|electronic|small
4LIE672|1985-02-10|electronic|small
7TFH286|1987-01-17|electronic|small
5NJM856|1990-04-26|electronic|small
RUC-414|2004-04-10|electronic|small
UIC-8159|1982-08-03|electronic|small
QKS-8952|1975-04-18|electronic|small
8MUQ536|1983-08-16|electronic|small
KXS-414|1979-07-25|electronic|small
3WWW477|2012-05-25|electronic|small
CTF-5541|1998-12-01|electronic|small
6UKS217|2000-12-24|electronic|small
EHG-3042|2006-04-29|electronic|small
3KKN734|1981-08-22|electronic|small
4IBZ124|1996-10-21|electronic|small
7CUV695|2007-12-12|electronic|small
SJJ-576|2008-05-10|electronic|small
WOL-441|1992-08-08|electronic|small
7SHQ426|1981-03-29|electronic|small
7GVI739|2009-06-08|electronic|small
POS-6765|1997-08-11|electronic|small
2IQX357|1975-06-18|electronic|small
NOD-058|2011-02-08|electronic|small
XZS-613|1998-08-08|electronic|small
JTV-623|2017-08-11|electronic|small
KDL-274|1977-03-22|electronic|small
2WWV572|2009-04-08|electronic|small
VPK-7571|1970-10-09|electronic|small
GGU-963|1973-01-14|electronic|small
4TLH764|1985-03-25|electronic|small
RQB-0914|2006-10-18|electronic|small
VIX-093|2014-08-29|electronic|small
2URE468|2008-05-08|electronic|small
TUR-6394|1998-11-08|electronic|small
LHX-1739|2002-04-20|electronic|small
6GIK368|1979-04-21|electronic|small
8MOY421|1987-07-21|electronic|small
XVX-799|1974-08-23|electronic|small
NSJ-296|1997-07-13|electronic|small
BPJ-576|1985-12-24|electronic|small
KKH-9605|1999-05-31|electronic|small
2LOU698|2006-03-26|electronic|small
QAV-809|1992-01-20|electronic|small
7PPN882|2006-11-09|electronic|small
3HNW792|2014-06-17|electronic|small
5BMR816|2007-09-15|electronic|small
FWJ-065|2009-07-09|electronic|small
8POA734|1987-05-25|electronic|small
JIY-4237|1972-09-23|electronic|small
FKM-0385|1993-10-04|electronic|small
7BGE286|1979-02-12|electronic|small
JOM-278|2002-06-12|electronic|small
JML-626|1995-01-24|electronic|small
YMO-544|1989-11-17|electronic|small
8GVB757|1990-10-12|electronic|small
FGV-7827|2006-06-03|electronic|small
HIH-044|1980-04-23|electronic|small
6KIQ721|1985-03-29|electronic|small
9FTS618|1979-05-17|electronic|small
8MDW487|1989-06-25|electronic|small
